optim/lr,epoch,bps/train,bps/train_examples,optim/grad_max,optim/grad_mean,optim/grad_clip_ratio,loss/train,loss/train_0,val/train_0,shares/train_0,loss/train_1,val/train_1,shares/train_1,loss/train_2,val/train_2,shares/train_2,loss/train_3,val/train_3,shares/train_3,loss/train_4,val/train_4,shares/train_4,loss/train_5,val/train_5,shares/train_5,loss/train_6,val/train_6,shares/train_6,loss/train_7,val/train_7,shares/train_7,loss/train_8,val/train_8,shares/train_8,loss/train_initial,val/train_initial,shares/train_initial,buffer/size,buffer/added,bps/gen,bps/gen_examples,loss/valid_snapshot_0000,exploitability_last,eval_mse/net_reach,eval_mse/fp_reach,bps/loop,timing/start,timing/train-get_batch,timing/train-forward,timing/train-forward-stats,timing/train-backward,timing/train-rest,timing/valid-acc-extra,timing/valid-trace,timing/valid-exploit,timing_pct/start,timing_pct/train-get_batch,timing_pct/train-forward,timing_pct/train-forward-stats,timing_pct/train-backward,timing_pct/train-rest,timing_pct/valid-acc-extra,timing_pct/valid-trace,timing_pct/valid-exploit,created_at,loss/valid_snapshot_0100
0.0003,0,0.42111726944622074,215.61204195646502,1.6573461294174194,1.1539229869842529,0.0,0.018358887173235416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018358887173235416,-0.0021169394254684447,1.0,5562,5562,0.6995804795999406,358.1852055551696,0.005817025825381279,0.0005152716767042875,0.0,0.0,0.21862580176269888,0.6348059177398682,0.0003643035888671875,3.0165579319000244,0.3238861560821533,8.529354095458984,0.013544797897338867,10.795010566711426,0.016042709350585938,0.17533612251281738,2.700737196982061,0.0015499040351587467,12.833733879702327,1.377950905739757,36.28753801453518,0.05762539145379814,45.92661436290977,0.0682525803126713,0.7460282521588553,2025-04-06 07:19:56.846622,
0.0003,1,8.410481981537583,4306.166774547242,0.5885404348373413,0.3487520307302475,0.0,0.002750535705126822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002750535705126822,-0.012228412926197052,1.0,10450,10435,0.7508295543223104,384.4247318130229,,,,,8.2802133826504,0.31932806968688965,0.0004963874816894531,1.72296142578125,0.1630781888961792,4.344521641731262,0.012717723846435547,5.397505283355713,0.008021354675292969,0.09812498092651367,2.6463447370698354,0.00411367657407715,14.278575340280359,1.3514662439147374,36.00404434522391,0.1054835981077122,44.73036057845012,0.06647480050828608,0.8131841560454545,2025-04-06 07:19:57.472036,
0.0003,2,1.5735805298942873,805.6732313058751,0.3639279305934906,0.3344351589679718,0.0,0.001504808897152543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001504808897152543,-0.0032836437225341798,1.0,11786,11779,0.7580694745101003,388.13157094917136,,,,,1.568768729232339,0.2130270004272461,0.0004432201385498047,1.490170955657959,0.16143457094828287,3.560131311416626,0.018146753311157227,3.598336855570475,0.0053475697835286455,0.06541665395100911,2.337755577892294,0.004863892131283463,16.353117006837998,1.7715809167011531,39.068835474382205,0.1991649142120402,39.488102627245176,0.058684162404482994,0.7178815237237977,2025-04-06 07:20:00.679696,
0.0003,3,5.464733137360717,2797.9433663286873,0.2896110415458679,0.2164938747882843,0.0,0.0009494395810179413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009494395810179413,-0.0034781008958816527,1.0,12116,12101,0.755342251260443,386.7352326453468,,,,,5.422547993957801,0.15997034311294556,0.0004067420959472656,1.2233710885047913,0.12534183263778687,2.788114309310913,0.020205378532409668,2.6987526416778564,0.004010677337646484,0.049062490463256836,2.2629078696999088,0.005753690790095067,17.305558079513837,1.7730600182459915,39.44009676661134,0.2858388728664887,38.17600482931032,0.056734224191664254,0.6940279905381789,2025-04-06 07:20:01.616506,
0.0003,4,11.71548135853981,5998.326455572383,0.1327778846025467,0.11294447779655456,0.0,0.0002643458574311808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002643458574311808,-0.0038669973611831663,1.0,12287,12267,0.7548357006850966,386.4758787507695,,,,,11.450286318309084,0.1281522750854492,0.0003851413726806641,1.0425602436065673,0.10088825225830078,2.2507601261138914,0.02183213233947754,2.159002113342285,0.0032085418701171876,0.03924999237060547,2.2302708793154657,0.006702726013537625,18.14397559229734,1.755787253302295,39.17062543173048,0.37997577011967915,37.573734360605,0.055839176426757425,0.6830788992169434,2025-04-06 07:20:02.067834,
0.0003,5,7.691578680210493,3938.0882842677725,0.13204284012317657,0.1071414440870285,0.0,0.0003606323734857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003606323734857142,-0.009894999861717223,1.0,12525,12507,0.7536300407928465,385.8585808859374,,,,,7.576720020203123,0.1068958044052124,0.00038512547810872394,0.9118040800094604,0.08465739091237386,1.9398751656214397,0.022327065467834473,1.7991684277852376,0.0026737848917643228,0.032708326975504555,2.1813258519350365,0.007858906776667063,18.606359928636216,1.7275266918289525,39.58527532340149,0.45563414834747895,36.714000379624686,0.05456150631328656,0.6674492006697805,2025-04-06 07:20:02.744174,
0.0003,6,8.201175064603525,4199.001633077005,0.07059459388256073,0.06282864511013031,0.0,0.0001307714162976481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001307714162976481,-0.0003668695688247681,1.0,12743,12739,0.7528519371060997,385.460191798323,,,,,7.93771408889444,0.09168754305158343,0.00037857464381626675,0.8060931478227887,0.07292124203273229,1.7244316169193812,0.024660587310791016,1.5421443666730608,0.002291815621512277,0.028035708836146762,2.1359213496553444,0.008819144207086125,18.7784676842842,1.6987480798069843,40.171763622530435,0.5745075383348834,35.92526277178746,0.05338934551564653,0.65311019428405,2025-04-06 07:20:03.382785,
0.0003,7,9.599012796840658,4914.694551982417,0.0715322270989418,0.05603635013103485,0.0,9.102037001866848e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.102037001866848e-05,-0.007172673940658569,1.0,12948,12934,0.7518509647036531,384.9476939282704,,,,,9.471983118780086,0.08030802011489868,0.0003897547721862793,0.7317669987678528,0.06417632102966309,1.5468142926692963,0.023881137371063232,1.3493763208389282,0.002005338668823242,0.024531245231628418,2.1005167290299234,0.010194329508126479,19.13991679118403,1.6785799940969228,40.45809240230133,0.6246470563061309,35.293953600447246,0.05245114267799468,0.6416331883073225,2025-04-06 07:20:03.926166,
0.0003,8,8.228594746558425,4213.040510237914,0.041580308228731155,0.039582739025354384,0.0,5.0191665650345385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0191665650345385e-05,-0.009506091475486755,1.0,13159,13150,0.7503585620034254,384.1835837457538,,,,,8.094555464721953,0.07145836618211535,0.00038774808247884113,0.6830607785118951,0.05741765764024523,1.4083419640858967,0.024985790252685547,1.1994456185234919,0.0017825232611762153,0.021805551317003038,2.0600983581760284,0.011178525773522205,19.692199297707745,1.655313835940839,40.601585552202344,0.7203485693070282,34.579239373375344,0.05138898970067377,0.6286399041477679,2025-04-06 07:20:04.557670,
0.0003,9,2.51223863890379,1286.2661831187404,0.038503266870975494,0.028422804549336433,0.0,2.300065607414581e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.300065607414581e-05,-0.0027002796530723574,1.0,13982,13982,0.7533859750348779,385.7336192178575,,,,,2.497902188191913,0.0643763780593872,0.00038242340087890625,0.6715726375579834,0.06305804252624511,1.397980237007141,0.025784683227539063,1.0795010566711425,0.0016042709350585938,0.019624996185302734,1.9367807251657065,0.011505311326948457,20.204444225972324,1.8971182445033865,42.058613094080464,0.7757606792829577,32.477080916667276,0.048264924474296,0.5904233119185622,2025-04-06 07:20:06.588135,
