optim/lr,epoch,bps/train,bps/train_examples,optim/grad_max,optim/grad_mean,optim/grad_clip_ratio,loss/train,loss/train_0,val/train_0,shares/train_0,loss/train_1,val/train_1,shares/train_1,loss/train_2,val/train_2,shares/train_2,loss/train_initial,val/train_initial,shares/train_initial,buffer/size,buffer/added,bps/gen,bps/gen_examples,loss/valid_snapshot_0000,exploitability_last,eval_mse/net_reach,eval_mse/fp_reach,bps/loop,timing/start,timing/train-get_batch,timing/train-forward,timing/train-forward-stats,timing/train-backward,timing/train-rest,timing/valid-acc-extra,timing/valid-trace,timing/valid-exploit,timing_pct/start,timing_pct/train-get_batch,timing_pct/train-forward,timing_pct/train-forward-stats,timing_pct/train-backward,timing_pct/train-rest,timing_pct/valid-acc-extra,timing_pct/valid-trace,timing_pct/valid-exploit,created_at
0.0003,0,67.45517888841312,539.6414311073049,16.97796058654785,7.9025518365669996,0.75,0.4573980955171919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4573980955171919,0.0156240314245224,1.0,180,180,5.99783212816565,47.9826570253252,0.002967455078396597,3.814697265625e-06,0.0,0.0,3.1769255578969333,0.27303552627563477,0.0033702850341796875,0.050662994384765625,0.01955699920654297,0.39050865173339844,0.013571977615356445,9.267630815505981,0.016370534896850586,0.3109447956085205,2.639130400372487,0.03257679252569039,0.48970275216037806,0.18903573410422544,3.7746122948032395,0.13118519485886568,89.57986734641767,0.1582357318330135,3.005665406824882,2025-03-31 09:44:14.027904
0.0003,1,147.36957867969028,1178.9566294375222,2.2086212635040283,0.8444283144781366,0.0,0.0026825517115014463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026825517115014463,-6.58910721540451e-07,1.0,564,564,5.1901648575005215,41.52131886000417,,,,,144.88253111540496,0.13672804832458496,0.0038660764694213867,0.05335378646850586,0.0190962553024292,0.2579927444458008,0.014950871467590332,4.633815407752991,0.008185267448425293,0.16357421875,2.583885469964095,0.07306107954816617,1.0082793933858174,0.3608808668835462,4.875544644264476,0.2826135292848786,87.56980333811876,0.15468511316381653,3.0912241655456723,2025-03-31 09:44:14.264200
0.0003,2,146.00579812306162,1168.046384984493,0.48279547691345215,0.15610027443472063,0.0,0.00011261881788493522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011261881788493522,0.031249459832906723,1.0,576,576,5.210181048467072,41.68144838773657,,,,,143.3521254325629,0.09132933616638184,0.004070123036702474,0.054742018381754555,0.019177754720052082,0.21330618858337402,0.02005481719970703,3.089210271835327,0.005456844965616862,0.10904947916666667,2.5324238001160464,0.1128583309613503,1.517913039067668,0.5317700152486696,5.914656684862864,0.5561336991458206,85.65910959548226,0.1513100241886827,3.023776455889531,2025-03-31 09:44:14.500886
0.0003,3,145.15108859751956,1161.2087087801565,0.07713300734758377,0.030794977763434872,0.0,3.7669683718988267e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7669683718988267e-06,0.015624427935108542,1.0,588,588,5.229072314406525,41.8325785152522,,,,,142.52977969208288,0.06867402791976929,0.0041419267654418945,0.056122541427612305,0.01935255527496338,0.19109439849853516,0.021863996982574463,2.3169077038764954,0.0040926337242126465,0.081787109375,2.48455315335604,0.14985049687301077,2.030453746520211,0.7001548284029772,6.913591713782882,0.7910764933858057,83.82325190574882,0.14806712716637702,2.958970467538789,2025-03-31 09:44:14.739345
0.0003,4,130.8819399953388,1047.0555199627104,0.015450477600097656,0.007039934804197401,0.0,2.1771252420310638e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1771252420310638e-07,-0.07812550175003707,1.0,600,600,5.236971038294642,41.895768306357134,,,,,128.72206802762844,0.055021142959594725,0.004167413711547852,0.05838007926940918,0.020165777206420897,0.17999186515808105,0.024321365356445312,1.8535261631011963,0.0032741069793701173,0.0654296875,2.4299624008189187,0.18405031380673245,2.578306991653545,0.8906045523423436,7.949189007371127,1.0741894597924357,81.85942063358469,0.14459817495922825,2.8896469969569436,2025-03-31 09:44:15.002238
0.0003,5,142.66673753000177,1141.3339002400141,0.005231945775449276,0.0016162458055077877,0.0,1.3266293591440714e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3266293591440714e-08,-0.007813005242496729,1.0,602,602,5.167673779055615,41.34139023244492,,,,,140.03243482361583,0.045938730239868164,0.004327535629272461,0.058079282442728676,0.019994219144185383,0.1716295083363851,0.025161186854044598,1.5446051359176636,0.002728422482808431,0.054524739583333336,2.38396255576151,0.22457483794264702,3.0139891522034246,1.0375878811308803,8.906609285918178,1.305802897717314,80.15634712230121,0.1415898306581453,2.829528305432047,2025-03-31 09:44:15.242843
0.0003,6,141.13489009862366,1129.0791207889893,0.0009574018768034875,0.00032797051824218215,0.0,5.097646887941565e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.097646887941565e-10,0.07812448614276946,1.0,612,612,5.167109323139719,41.336874585117755,,,,,139.3826930745713,0.03947724614824567,0.004338639123099191,0.058803830827985494,0.019988230296543667,0.16494406972612655,0.025723252977643694,1.3239472593579973,0.0023386478424072266,0.04673549107142857,2.3410597594354563,0.2572877911407004,3.4871551459058545,1.1853319614505702,9.781430111495018,1.5254940400416688,78.51205326883219,0.1386853159612657,2.7714845426126202,2025-03-31 09:44:15.485212
0.0003,7,146.70784728659123,1173.6627782927299,0.00020620699797291309,6.0643812844318745e-05,0.0,1.9048498889340237e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9048498889340237e-11,0.07812445145100355,1.0,624,624,5.1865678371253034,41.49254269700243,,,,,144.0940803620986,0.03461712598800659,0.004385143518447876,0.05828788876533508,0.01971849799156189,0.16021502017974854,0.02623865008354187,1.1584538519382477,0.0020463168621063232,0.0408935546875,2.300359375448631,0.29139929203955983,3.8733166769217,1.3103234433837645,10.646525765479906,1.7436368305311654,76.98097699543264,0.1359807911412339,2.7174373734377397,2025-03-31 09:44:15.717709
0.0003,8,146.4098629252361,1171.2789034018888,4.042756700073369e-05,1.4457988314120485e-05,0.0,9.870299022551876e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.870299022551876e-13,-5.031470209360123e-07,1.0,636,636,5.204729415221792,41.63783532177434,,,,,143.77934178755606,0.03082455529106988,0.004428995980156792,0.058284017774793834,0.019800292121039495,0.15611190266079372,0.026493628819783527,1.0297367572784424,0.0018189483218722874,0.03634982638888889,2.260113244354268,0.32474215376090654,4.273491677758411,1.451793936433838,11.446412623744228,1.9426180564564381,75.50219821006364,0.13336864568652917,2.665236311626755,2025-03-31 09:44:15.954222
0.0003,9,5.148893782377258,41.191150259018066,1.051099843607517e-05,5.283060207972312e-06,0.0,2.0010382240087665e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0010382240087665e-13,-0.007812969153746963,1.0,932,932,5.41731936933931,43.33855495471448,,,,,5.145945266183144,0.6280570507049561,0.0043751239776611325,0.05826690196990967,0.01979563236236572,0.15222296714782715,0.026618385314941408,0.9267630815505982,0.0016370534896850586,0.03271484375,33.94073648155798,0.23643541591208264,3.148792873414469,1.0697727869509834,8.226258440385482,1.438511074065818,50.08306410450948,0.0884677610692366,1.7679379437071447,2025-03-31 09:44:22.185118
