optim/lr,epoch,bps/train,bps/train_examples,optim/grad_max,optim/grad_mean,optim/grad_clip_ratio,loss/train,loss/train_0,val/train_0,shares/train_0,loss/train_1,val/train_1,shares/train_1,loss/train_2,val/train_2,shares/train_2,loss/train_3,val/train_3,shares/train_3,loss/train_4,val/train_4,shares/train_4,loss/train_5,val/train_5,shares/train_5,loss/train_6,val/train_6,shares/train_6,loss/train_7,val/train_7,shares/train_7,loss/train_8,val/train_8,shares/train_8,loss/train_9,val/train_9,shares/train_9,loss/train_10,val/train_10,shares/train_10,loss/train_initial,val/train_initial,shares/train_initial,buffer/size,buffer/added,bps/gen,bps/gen_examples,loss/valid_snapshot_0000,exploitability_last,eval_mse/net_reach,eval_mse/fp_reach,bps/loop,timing/start,timing/train-get_batch,timing/train-forward,timing/train-forward-stats,timing/train-backward,timing/train-rest,timing/valid-acc-extra,timing/valid-trace,timing/valid-exploit,timing_pct/start,timing_pct/train-get_batch,timing_pct/train-forward,timing_pct/train-forward-stats,timing_pct/train-backward,timing_pct/train-rest,timing_pct/valid-acc-extra,timing_pct/valid-trace,timing_pct/valid-exploit,created_at,loss/valid_snapshot_0100
0.0003,0,0.478163202613929,3.825305620911432,1.4515193700790405,0.5498149255290627,0.0,0.02567652206744242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.986822247505188,-5.0,0.00390625,1.0553052127361298,-0.9989125728607178,0.015625,0.0,0.0,0.0,0.005438831946497182,-0.006831294511893831,0.98046875,84,84,0.11231250511256842,0.8985000409005474,0.0005669833432148153,0.2220354676246643,0.7512288689613342,0.6740176677703857,0.2905475751382289,68.5906412601471,0.041376352310180664,0.1630864143371582,0.02578115463256836,0.6344289779663086,0.18804049491882324,8.971063375473022,0.018872737884521484,34.04873704910278,60.87096274534852,0.036719563394354844,0.14473150956175126,0.022879560160679747,0.5630258293677001,0.16687708046653185,7.961396110053044,0.016748665759142245,30.216665507083132,2025-04-04 13:10:01.479668,
0.0003,1,1.3041400784032515,10.433120627226012,1.303096055984497,0.31742503750137985,0.0,0.020655523017012456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9724661707878113,3.0117554664611816,0.00390625,0.0,0.0,0.0,1.1172188520431519,-2.000011444091797,0.0078125,0.9761770069599152,-0.9989125728607178,0.0078125,0.0,0.0,0.0,0.000512175653890458,-0.013548616126951468,0.98046875,146,146,0.11316205056112315,0.9052964044889852,,,,,1.2961132091680538,46.305232882499695,0.032504916191101074,0.152205228805542,0.024791955947875977,0.47662174701690674,0.17573511600494385,4.485531687736511,0.009436368942260742,17.03983497619629,67.40022177526974,0.04731298006050543,0.22154442464161106,0.03608627416624179,0.6937533719649409,0.2557987091812376,6.528977649256137,0.013735237247926949,24.802567332377688,2025-04-04 13:10:26.198860,
0.0003,2,0.4801084469661093,3.8408675757288746,1.3644047975540161,0.4245081255212426,0.0,0.03681438478088239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6881133317947388,-1.3270579973856609,0.01171875,0.0,0.0,0.0,0.7938361135976655,-2.6766535554613387,0.02734375,0.8598365187644958,-0.9989125728607178,0.0078125,0.0,0.0,0.0,0.00034269110917983976,0.003602887702281358,0.953125,210,210,0.11508514059839112,0.9206811247871289,,,,,0.47899788377636576,52.886497020721436,0.039210001627604164,0.1590916315714518,0.024225393931070965,0.4325419267018636,0.17697588602701822,2.9903544584910073,0.006290912628173828,11.35988998413086,77.6884824727116,0.05759817147669286,0.23370024726824357,0.035586287574901045,0.6353895187674172,0.2599746498919777,4.39272995987331,0.009241138721283673,16.687295692476997,2025-04-04 13:11:33.026122,
0.0003,3,0.44100461447742245,3.5280369158193796,1.162084937095642,0.2120108244707808,0.0,0.011469090864920872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.036484956741333,3.0117554664611816,0.00390625,0.0,0.0,0.0,0.504409447312355,-5.0,0.0078125,0.843023955821991,3.0,0.00390625,0.0,0.0,0.0,0.00018952172716140805,-0.04443458860947026,0.984375,270,270,0.11219079037208006,0.8975263229766405,,,,,0.44017694205725455,57.67967391014099,0.035206615924835205,0.15795457363128662,0.024635910987854004,0.39634644985198975,0.1742616891860962,2.2427658438682556,0.004718184471130371,8.519917488098145,83.30941198418965,0.05085053835811568,0.22814107219011687,0.03558278192228319,0.572461448562126,0.25169617098606245,3.239330096802771,0.006814691333643243,12.30570958485392,2025-04-04 13:12:45.736407,
0.0003,4,0.480597273571563,3.844778188572504,1.620985984802246,0.3608301734784618,0.0,0.029795464979201824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5349788069725037,-3.496464729309082,0.00390625,0.0,0.0,0.0,0.5427380071745979,-2.5262886418236628,0.03515625,0.7187810738881429,0.6236393054326376,0.01171875,0.0,0.0,0.0,0.00021265385231221623,-0.038099026790371644,0.94921875,334,334,0.11358752086488616,0.9087001669190893,,,,,0.4796690277715807,59.35387134552002,0.03482813835144043,0.15660057067871094,0.024316692352294923,0.37952237129211425,0.16994891166687012,1.7942126750946046,0.003774547576904297,6.8159339904785154,86.35424270249023,0.050671631755376687,0.22783894935875304,0.03537847667741657,0.5521689860935676,0.24726201457952218,2.6104089470938665,0.005491608047782251,9.916536271603459,2025-04-04 13:13:52.460101,
0.0003,5,0.48084139712548923,3.846731177003914,1.3934400081634521,0.38467392150778323,0.0,0.023494801404012833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41838851304990904,-1.0000152587890625,0.02734375,0.49488333612680435,-1.9996674060821533,0.0234375,0.0,0.0,0.0,0.0004800387659136957,-0.036950142203289786,0.94921875,394,394,0.11341386382081842,0.9073109105665473,,,,,0.47977712684775586,60.470638712247215,0.034482995669047035,0.15599254767100015,0.023834864298502605,0.36239675680796307,0.17044289906819662,1.4951772292455037,0.003145456314086914,5.67994499206543,88.41246173296254,0.050416641860441785,0.2280724239943638,0.03484830113552153,0.5298503550772745,0.2492017454204395,2.186057603818429,0.004598885375186076,8.304491732689605,2025-04-04 13:14:59.168615,
0.0003,6,0.432538085507105,3.46030468405684,1.2977278232574463,0.2902226687874645,0.0,0.013233604545348499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0849388986825943,0.7675833702087402,0.0078125,0.0,0.0,0.0,0.3504258692264557,-1.3337397575378418,0.00390625,0.6164135336875916,3.0117554664611816,0.00390625,0.6572715044021606,2.999962329864502,0.00390625,1.0399351119995117,4.999961853027344,0.00390625,0.25544214248657227,4.997645854949951,0.00390625,0.0,0.0,0.0,0.0011985414309883453,-0.05361871648744407,0.97265625,400,462,0.11359422625922748,0.9087538100738198,,,,,0.4317154291633437,62.32551441873823,0.03171968460083008,0.15435137067522323,0.023780243737357005,0.35805232184273855,0.16922977992466517,1.2815804822104317,0.0026961054120744976,4.868524278913226,90.04566800551366,0.04582746272443479,0.2230013247325637,0.034356843303012634,0.5173011534993646,0.2444988391136675,1.8515815184153743,0.0038952364069142604,7.033869274635314,2025-04-04 13:16:13.302338,
0.0003,7,0.6524568251797219,5.219654601437775,1.2988508939743042,0.49113438837230206,0.0,0.023496448491641786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2216750830411911,0.5755927562713623,0.0078125,0.0,0.0,0.0,0.6651035745938619,2.0866305033365884,0.01171875,0.0,0.0,0.0,0.23518801629543304,3.100647735595703,0.01953125,0.1706224475055933,-1.9341397881507874,0.015625,0.19795653522014617,0.37327778339385986,0.01953125,0.0,0.0,0.0,0.0030726467825095112,-0.030823228731437072,0.92578125,400,512,0.11478004311417324,0.9182403449133859,,,,,0.6507766953996892,60.60413870215416,0.030702054500579834,0.1549813151359558,0.023458749055862427,0.34806472063064575,0.1666458249092102,1.1213829219341278,0.0023590922355651855,4.259958744049072,90.84485138436622,0.04602199846461556,0.23231506696388524,0.03516437354413245,0.5217446942564673,0.24980189855319612,1.6809390756088938,0.003536249967930225,6.385625260819253,2025-04-04 13:17:02.489211,
0.0003,8,0.5233727743495301,4.186982194796241,1.2326570749282837,0.5504440413787961,0.0,0.027807849688542774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34618348628282547,0.45537881056467694,0.01171875,0.0,0.0,0.0,0.5750048011541367,1.6650323569774628,0.015625,0.0,0.0,0.0,0.19367937743663788,-0.380109293120248,0.02734375,0.13200675579719245,-1.9073486328125e-05,0.0078125,0.10485818431091805,-1.6674513816833496,0.01171875,0.0,0.0,0.0,0.007788591409094223,0.047342408118368706,0.92578125,400,582,0.11755306070976625,0.94042448567813,,,,,0.5219506560294263,60.602110147476196,0.03491097026401096,0.15489819314744738,0.023559464348687068,0.3424496915605333,0.169304264916314,0.9967848194970025,0.002096970876057943,3.7866299947102866,91.66479106548361,0.0528052040986092,0.23429399532011183,0.03563528352200532,0.5179783237076419,0.2560853153896099,1.507704467618174,0.003171810300936534,5.727534015939987,2025-04-04 13:18:03.808960,
0.0003,9,0.653133201666679,5.225065613333432,1.6623029708862305,0.6088731628842652,0.0,0.0371640145604033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10081467032432556,1.0870755910873413,0.015625,0.0,0.0,0.0,0.4505096996823947,-0.33182958761850995,0.0234375,0.0,0.0,0.0,0.1315070163017433,2.7040244340896606,0.07421875,0.12130739415685336,-2.3333433469136557,0.01171875,0.08211931501448687,-0.7398237841469901,0.0546875,0.0,0.0,0.0,0.011406880657055548,0.1167461871391251,0.8203125,400,642,0.12012721312093944,0.9610177049675155,,,,,0.6512534969076387,59.39130699634552,0.0355642557144165,0.15273137092590333,0.02333667278289795,0.33755466938018797,0.16873443126678467,0.8971063375473023,0.0018872737884521485,3.4079669952392577,92.19934770061393,0.055210119867016856,0.2371009072700703,0.03622796191736033,0.5240214756018883,0.26194517066435025,1.3926721488893574,0.002929812813152293,5.290544186300109,2025-04-04 13:18:52.960073,
